SENTENCE,DETAILS
"He reeled at the lip of the shallow cup at the base of the slab, slipped upon its polished curve, fell and rolled with that which had attacked him, kicking and writhing, straight through the narrowing portal into the passage!",reeled<<VBD>> lip<<NN>> shallow<<JJ>> cup<<NN>> base<<NN>> slab<<NN>> slipped<<VBD>> polished<<JJ>> curve<<NN>> fell<<VBD>> rolled<<VBD>> had<<VBD>> attacked<<VBN>> kicking<<VBG>> writhing<<VBG>> straight<<RB>> narrowing<<JJ>> portal<<NN>> passage<<NN>>
"Forgetting all else, I sprang to his aid.",Forgetting<<VBG>> else<<RB>> sprang<<VBP>> aid<<NN>>
As I leaped I felt the closing edge of the moon door graze my side.,leaped<<VBD>> felt<<VBD>> closing<<NN>> edge<<NN>> moon<<NN>> door<<NN>> graze<<NN>> side<<NN>>
"Then, as Larry raised a fist, brought it down upon the temple of the man who had grappled with him and rose from the twitching body unsteadily to his feet, I heard shuddering past me a mournful whisper; spun about as though some giant's hand had whirled me-- The end of the corridor no longer opened out into the moonlit square of ruined Nan-Tauach.",Then<<RB>> Larry<<NNP>> raised<<VBD>> fist<<NN>> brought<<VBD>> temple<<NN>> man<<NN>> had<<VBD>> grappled<<VBN>> rose<<VBD>> twitching<<VBG>> body<<NN>> unsteadily<<RB>> feet<<NNS>> heard<<VBD>> shuddering<<VBG>> mournful<<JJ>> whisper<<NN>> spun<<VBZ>> giant<<NN>> 's<<POS>> hand<<NN>> had<<VBD>> whirled<<VBN>> end<<NN>> corridor<<NN>> no<<RB>> longer<<RB>> opened<<VBN>> moonlit<<JJ>> square<<NN>> ruined<<JJ>> Nan-Tauach<<NNP>>
It was barred by a solid mass of glimmering stone.,was<<VBD>> barred<<VBN>> solid<<JJ>> mass<<NN>> glimmering<<VBG>> stone<<NN>>
The moon door had closed!,moon<<NN>> door<<NN>> had<<VBD>> closed<<VBN>>
O'Keefe took a stumbling step toward the barrier behind us.,O'Keefe<<NNP>> took<<VBD>> stumbling<<JJ>> step<<NN>> barrier<<NN>>
There was no mark of juncture with the shining walls; the slab fitted into the sides as closely as a mosaic.,was<<VBD>> mark<<NN>> juncture<<NN>> shining<<VBG>> walls<<NNS>> slab<<NN>> fitted<<VBD>> sides<<NNS>> as<<RB>> closely<<RB>> mosaic<<NN>>
"""It's shut all right,"" said Larry.",'s<<VBZ>> shut<<VBN>> right<<NN>> said<<VBD>> Larry<<NNP>>
"""But if there's a way in, there's a way out.",'s<<VBZ>> way<<NN>> 's<<VBZ>> way<<NN>>
"Anyway, Doc, we're right in the pew we've been heading for--so why worry?""",Anyway<<RB>> Doc<<NNP>> 're<<VBP>> right<<JJ>> pew<<NN>> 've<<VBP>> been<<VBN>> heading<<VBG>> so<<RB>> why<<WRB>> worry<<NN>>
He grinned at me cheerfully.,grinned<<VBD>> cheerfully<<RB>>
"The man on the floor groaned, and he dropped to his knees beside him.",man<<NN>> floor<<NN>> groaned<<VBD>> dropped<<VBD>> knees<<NNS>>
"""Marakinoff!""",Marakinoff<<NN>>
he cried.,cried<<VBD>>
"At my exclamation he moved aside, turning the face so I could see it.",exclamation<<NN>> moved<<VBD>> aside<<RB>> turning<<VBG>> face<<NN>> could<<MD>> see<<VB>>
"It was clearly Russian, and just as clearly its possessor was one of unusual force and intellect.",was<<VBD>> clearly<<RB>> Russian<<JJ>> just<<RB>> clearly<<RB>> possessor<<NN>> was<<VBD>> one<<CD>> unusual<<JJ>> force<<NN>> intellect<<NN>>
"The strong, massive brow with orbital ridge unusually developed, the dominant, high-bridged nose, the straight lips with their more than suggestion of latent cruelty, and the strong lines of the jaw beneath a black, pointed beard all gave evidence that here was a personality beyond the ordinary.",strong<<JJ>> massive<<JJ>> brow<<NN>> orbital<<JJ>> ridge<<NN>> unusually<<RB>> developed<<VBD>> dominant<<JJ>> high-bridged<<JJ>> nose<<NN>> straight<<JJ>> lips<<NNS>> more<<JJR>> suggestion<<NN>> latent<<NN>> cruelty<<NN>> strong<<JJ>> lines<<NNS>> jaw<<NN>> beneath<<NN>> black<<JJ>> pointed<<JJ>> gave<<VBD>> evidence<<NN>> here<<RB>> was<<VBD>> personality<<NN>> ordinary<<JJ>>
"""Couldn't be anybody else,"" said Larry, breaking in on my thoughts.",Could<<MD>> n't<<RB>> be<<VB>> anybody<<NN>> else<<RB>> said<<VBD>> Larry<<NNP>> breaking<<VBG>> thoughts<<NNS>>
"""He must have been watching us over there from Chau-ta-leur's vault all the time.""",must<<MD>> have<<VB>> been<<VBN>> watching<<VBG>> there<<RB>> Chau-ta-leur<<NNP>> 's<<POS>> vault<<NN>> all<<PDT>> time<<NN>>
"Swiftly he ran practised hands over his body; then stood erect, holding out to me two wicked-looking magazine pistols and a knife.",Swiftly<<RB>> ran<<VBD>> practised<<JJ>> hands<<NNS>> body<<NN>> then<<RB>> stood<<VBD>> erect<<JJ>> holding<<VBG>> two<<CD>> wicked-looking<<JJ>> magazine<<NN>> pistols<<NNS>> knife<<NN>>
"""He got one of my bullets through his right forearm, too,"" he said.",got<<VBD>> one<<CD>> bullets<<NNS>> right<<JJ>> forearm<<NN>> too<<RB>> said<<VBD>>
"""Just a flesh wound, but it made him drop his rifle.",Just<<RB>> flesh<<JJ>> wound<<NN>> made<<VBD>> drop<<VB>> rifle<<NN>>
"Some arsenal, our little Russian scientist, what?""",arsenal<<JJ>> little<<JJ>> Russian<<JJ>> scientist<<NN>>
I opened my medical kit.,opened<<VBD>> medical<<JJ>> kit<<NN>>
"The wound was a slight one, and Larry stood looking on as I bandaged it.",wound<<NN>> was<<VBD>> slight<<JJ>> one<<CD>> Larry<<NNP>> stood<<VBD>> looking<<VBG>> bandaged<<VBD>>
"""Got another one of those condensers?""",Got<<NNP>> one<<CD>> condensers<<NNS>>
"he asked, suddenly.",asked<<VBD>> suddenly<<RB>>
"""And do you suppose Olaf will know enough to use it?""",do<<VB>> suppose<<VB>> Olaf<<NNP>> will<<MD>> know<<VB>> enough<<RB>> use<<VB>>
"""Larry,"" I answered, ""Olaf's not outside!",Larry<<NNP>> answered<<VBD>> Olaf<<NNP>> 's<<POS>> not<<RB>> outside<<JJ>>
"He's in here somewhere!""",'s<<VBZ>> here<<RB>> somewhere<<RB>>
His jaw dropped.,jaw<<NN>> dropped<<VBD>>
"""The hell you say!""",hell<<NN>> say<<VBP>>
he whispered.,whispered<<VBD>>
"""Didn't you hear him shriek when the stone opened?""",Did<<VBP>> n't<<RB>> hear<<VBP>> shriek<<VB>> when<<WRB>> stone<<NN>> opened<<VBD>>
I asked.,asked<<VBD>>
"""I heard him yell, yes,"" he said.",heard<<VBD>> yell<<RB>> said<<VBD>>
"""But I didn't know what was the matter.",did<<VBD>> n't<<RB>> know<<VB>> was<<VBD>> matter<<NN>>
"And then this wildcat jumped me--"" He paused and his eyes widened.",then<<RB>> wildcat<<NN>> jumped<<VBD>> paused<<VBD>> eyes<<NNS>> widened<<VBD>>
"""Which way did he go?""",Which<<JJ>> way<<NN>> did<<VBD>> go<<VB>>
he asked swiftly.,asked<<VBD>> swiftly<<RB>>
I pointed down the faintly glowing passage.,pointed<<VBD>> faintly<<RB>> glowing<<JJ>> passage<<NN>>
"""There's only one way,"" I said.",'s<<VBZ>> only<<RB>> one<<CD>> way<<NN>> said<<VBD>>
"""Watch that bird close,"" hissed O'Keefe, pointing to Marakinoff--and pistol in hand stretched his long legs and raced away.",Watch<<VB>> bird<<NN>> close<<RB>> hissed<<VBD>> O'Keefe<<NNP>> pointing<<VBG>> Marakinoff<<NNP>> pistol<<NN>> hand<<NN>> stretched<<VBD>> long<<JJ>> legs<<NN>> raced<<VBD>> away<<RB>>
I looked down at the Russian.,looked<<VBD>> down<<RB>> Russian<<NNP>>
"His eyes were open, and he reached out a hand to me.",eyes<<NNS>> were<<VBD>> open<<JJ>> reached<<VBD>> hand<<NN>>
I lifted him to his feet.,lifted<<VBD>> feet<<NNS>>
"""I have heard,"" he said.",have<<VBP>> heard<<VBN>> said<<VBD>>
"""We follow, quick.",follow<<VBP>> quick<<NN>>
"If you will take my arm, please, I am shaken yet, yes--"" I gripped his shoulder without a word, and the two of us set off down the corridor after O'Keefe.",will<<MD>> take<<VB>> arm<<NN>> please<<NN>> am<<VBP>> shaken<<VBN>> yet<<RB>> gripped<<VBD>> shoulder<<NN>> word<<NN>> two<<CD>> set<<VB>> corridor<<NN>> O'Keefe<<NNP>>
"Marakinoff was gasping, and his weight pressed upon me heavily, but he moved with all the will and strength that were in him.",Marakinoff<<NNP>> was<<VBD>> gasping<<VBG>> weight<<NN>> pressed<<VBN>> heavily<<RB>> moved<<VBD>> all<<PDT>> will<<MD>> strength<<NN>> were<<VBD>>
As we ran I took hasty note of the tunnel.,ran<<VBD>> took<<VBD>> hasty<<JJ>> note<<NN>> tunnel<<NN>>
"Its sides were smooth and polished, and the light seemed to come not from their surfaces, but from far within them--giving to the walls an illusive aspect of distance and depth; rendering them in a peculiarly weird way--spacious.",sides<<NNS>> were<<VBD>> smooth<<JJ>> polished<<JJ>> light<<NN>> seemed<<VBD>> come<<VB>> not<<RB>> surfaces<<NNS>> far<<RB>> giving<<VBG>> walls<<NNS>> illusive<<JJ>> aspect<<NN>> distance<<NN>> depth<<NN>> rendering<<VBG>> peculiarly<<JJ>> weird<<JJ>> way<<NN>> spacious<<JJ>>
"The passage turned, twisted, ran down, turned again.",passage<<NN>> turned<<VBD>> twisted<<JJ>> ran<<VBD>> down<<RB>> turned<<VBD>> again<<RB>>
"It came to me that the light that illumined the tunnel was given out by tiny points deep within the stone, sprang from the points ripplingly and spread upon their polished faces.",came<<VBD>> light<<NN>> illumined<<VBD>> tunnel<<NN>> was<<VBD>> given<<VBN>> tiny<<JJ>> points<<NNS>> deep<<RB>> stone<<NN>> sprang<<NN>> points<<NNS>> ripplingly<<RB>> spread<<VB>> polished<<JJ>> faces<<VBZ>>
There was a cry from Larry far ahead.,was<<VBD>> cry<<NN>> Larry<<NNP>> far<<RB>> ahead<<RB>>
"""Olaf!""",Olaf<<NN>>
I gripped Marakinoff's arm closer and we sped on.,gripped<<VBD>> Marakinoff<<NNP>> 's<<POS>> arm<<NN>> closer<<NN>> sped<<VBD>>
Now we were coming fast to the end of the passage.,Now<<RB>> were<<VBD>> coming<<VBG>> fast<<RB>> end<<NN>> passage<<NN>>
"Before us was a high arch, and through it I glimpsed a dim, shifting luminosity as of mist filled with rainbows.",was<<VBD>> high<<JJ>> arch<<NN>> glimpsed<<VBD>> dim<<NN>> shifting<<VBG>> luminosity<<NN>> mist<<NN>> filled<<VBN>> rainbows<<NNS>>
We reached the portal and I looked into a chamber that might have been transported from that enchanted palace of the Jinn King that rises beyond the magic mountains of Kaf.,reached<<VBD>> portal<<NN>> looked<<VBD>> chamber<<NN>> might<<MD>> have<<VB>> been<<VBN>> transported<<VBN>> enchanted<<VBD>> palace<<NN>> Jinn<<NNP>> King<<NNP>> rises<<VBZ>> magic<<JJ>> mountains<<NNS>> Kaf<<NNP>>
"Before me stood O'Keefe and a dozen feet in front of him, Huldricksson, with something clasped tightly in his arms.",stood<<VBD>> O'Keefe<<NNP>> dozen<<NN>> feet<<NNS>> front<<NN>> Huldricksson<<NNP>> something<<NN>> clasped<<VBN>> tightly<<RB>> arms<<NNS>>
"The Norseman's feet were at the verge of a shining, silvery lip of stone within whose oval lay a blue pool.",Norseman<<NNP>> 's<<POS>> feet<<NNS>> were<<VBD>> verge<<NN>> shining<<NN>> silvery<<JJ>> lip<<NN>> stone<<NN>> whose<<WP$>> oval<<JJ>> lay<<VBD>> blue<<JJ>> pool<<NN>>
"And down upon this pool staring upward like a gigantic eye, fell seven pillars of phantom light--one of them amethyst, one of rose, another of white, a fourth of blue, and three of emerald, of silver, and of amber.",down<<RB>> pool<<NN>> staring<<VBG>> upward<<RB>> gigantic<<JJ>> eye<<NN>> fell<<VBD>> seven<<CD>> pillars<<NNS>> phantom<<NN>> light<<NN>> one<<CD>> amethyst<<NN>> one<<CD>> rose<<VBD>> white<<JJ>> fourth<<JJ>> blue<<NN>> three<<CD>> emerald<<NN>> silver<<NN>> amber<<NN>>
"They fell each upon the azure surface, and I knew that these were the seven streams of radiance, within which the Dweller took shape--now but pale ghosts of their brilliancy when the full energy of the moon stream raced through them.",fell<<VBD>> azure<<NN>> surface<<NN>> knew<<VBD>> were<<VBD>> seven<<CD>> streams<<NNS>> radiance<<NN>> Dweller<<NNP>> took<<VBD>> shape<<NN>> now<<RB>> pale<<JJ>> ghosts<<NNS>> brilliancy<<NN>> when<<WRB>> full<<JJ>> energy<<NN>> moon<<NN>> stream<<NN>> raced<<VBD>>
Huldricksson bent and placed on the shining silver lip of the Pool that which he held--and I saw that it was the body of a child!,Huldricksson<<NNP>> bent<<NN>> placed<<VBN>> shining<<VBG>> silver<<NN>> lip<<NN>> Pool<<NNP>> held<<VBD>> saw<<VBD>> was<<VBD>> body<<NN>> child<<NN>>
"He set it there so gently, bent over the side and thrust a hand down into the water.",set<<VBD>> so<<RB>> gently<<RB>> bent<<NN>> side<<NN>> thrust<<NN>> hand<<NN>> water<<NN>>
And as he did so he moaned and lurched against the little body that lay before him.,did<<VBD>> so<<RB>> moaned<<VBD>> lurched<<VBD>> little<<JJ>> body<<NN>> lay<<VBD>>
Instantly the form moved--and slipped over the verge into the blue.,Instantly<<RB>> form<<NN>> moved<<VBD>> slipped<<VBD>> verge<<NN>> blue<<NN>>
"Huldricksson threw his body over the stone, hands clutching, arms thrust deep down--and from his lips issued a long-drawn, heart-shrivelling wail of pain and of anguish that held in it nothing human!",Huldricksson<<NNP>> threw<<VBD>> body<<NN>> stone<<NN>> hands<<VBZ>> clutching<<VBG>> arms<<NNS>> thrust<<VBP>> deep<<RB>> down<<RB>> lips<<NNS>> issued<<VBD>> long-drawn<<JJ>> heart-shrivelling<<JJ>> wail<<NN>> pain<<NN>> anguish<<JJ>> held<<VBD>> nothing<<NN>> human<<JJ>>
Close on its wake came a cry from Marakinoff.,Close<<RB>> wake<<NN>> came<<VBD>> cry<<NN>> Marakinoff<<NNP>>
"""Catch him!""",Catch<<VB>>
shouted the Russian.,shouted<<VBD>> Russian<<NNP>>
"""Drag him back!",Drag<<NNP>> back<<RB>>
"Quick!""",Quick<<NN>>
"He leaped forward, but before he could half clear the distance, O'Keefe had leaped too, had caught the Norseman by the shoulders and toppled him backward, where he lay whimpering and sobbing.",leaped<<VBD>> forward<<RB>> could<<MD>> half<<VB>> clear<<JJ>> distance<<NN>> O'Keefe<<NNP>> had<<VBD>> leaped<<VBN>> too<<RB>> had<<VBD>> caught<<VBN>> Norseman<<NNP>> shoulders<<NNS>> toppled<<VBD>> backward<<RB>> where<<WRB>> lay<<VBD>> whimpering<<VBG>> sobbing<<VBG>>
And as I rushed behind Marakinoff I saw Larry lean over the lip of the Pool and cover his eyes with a shaking hand; saw the Russian peer into it with real pity in his cold eyes.,rushed<<VBD>> Marakinoff<<NNP>> saw<<VBD>> Larry<<NNP>> lean<<NN>> lip<<NN>> Pool<<NNP>> cover<<VB>> eyes<<NNS>> shaking<<JJ>> hand<<NN>> saw<<VBD>> Russian<<JJ>> peer<<NN>> real<<JJ>> pity<<NN>> cold<<JJ>> eyes<<NNS>>
"Then I stared down myself into the Moon Pool, and there, sinking, was a little maid whose dead face and fixed, terror-filled eyes looked straight into mine; and ever sinking slowly, slowly--vanished!",Then<<RB>> stared<<VBD>> down<<RB>> Moon<<NNP>> Pool<<NNP>> there<<RB>> sinking<<NN>> was<<VBD>> little<<JJ>> maid<<NN>> whose<<WP$>> dead<<JJ>> face<<NN>> fixed<<VBN>> terror-filled<<JJ>> eyes<<NNS>> looked<<VBD>> straight<<RB>> mine<<NN>> ever<<RB>> sinking<<VBG>> slowly<<RB>> slowly<<RB>> vanished<<VBD>>
"And I knew that this was Olaf's Freda, his beloved yndling!",knew<<VBD>> was<<VBD>> Olaf<<NNP>> 's<<POS>> Freda<<NNP>> beloved<<JJ>> yndling<<NN>>
"But where was the mother, and where had Olaf found his babe?",where<<WRB>> was<<VBD>> mother<<NN>> where<<WRB>> had<<VBD>> Olaf<<NNP>> found<<VBD>> babe<<NN>>
The Russian was first to speak.,Russian<<NNP>> was<<VBD>> first<<RB>> speak<<VB>>
"""You have nitroglycerin there, yes?""",have<<VBP>> nitroglycerin<<VBN>> there<<RB>>
"he asked, pointing toward my medical kit that I had gripped unconsciously and carried with me during the mad rush down the passage.",asked<<VBD>> pointing<<VBG>> medical<<JJ>> kit<<NN>> had<<VBD>> gripped<<VBN>> unconsciously<<RB>> carried<<VBD>> mad<<JJ>> rush<<NN>> passage<<NN>>
I nodded and drew it out.,nodded<<VBD>> drew<<VBD>>
"""Hypodermic,"" he ordered next, curtly; took the syringe, filled it accurately with its one one-hundredth of a grain dosage, and leaned over Huldricksson.",Hypodermic<<NNP>> ordered<<VBD>> next<<JJ>> curtly<<RB>> took<<VBD>> syringe<<NN>> filled<<VBD>> accurately<<RB>> one<<CD>> one-hundredth<<NN>> grain<<NN>> dosage<<NN>> leaned<<VBD>> Huldricksson<<NNP>>
He rolled up the sailor's sleeves half-way to the shoulder.,rolled<<VBD>> sailor<<NN>> 's<<POS>> sleeves<<NNS>> half-way<<RB>> shoulder<<NN>>
The arms were white with somewhat of that weird semitranslucence that I had seen on Throckmartin's breast where a tendril of the Dweller had touched him; and his hands were of the same whiteness--like a baroque pearl.,arms<<NNS>> were<<VBD>> white<<JJ>> somewhat<<NN>> weird<<JJ>> semitranslucence<<NN>> had<<VBD>> seen<<VBN>> Throckmartin<<NNP>> 's<<POS>> breast<<NN>> where<<WRB>> tendril<<NN>> Dweller<<NNP>> had<<VBD>> touched<<VBN>> hands<<NNS>> were<<VBD>> same<<JJ>> whiteness<<NN>> baroque<<NN>> pearl<<NN>>
"Above the line of white, Marakinoff thrust the needle.",line<<NN>> white<<JJ>> Marakinoff<<NNP>> thrust<<VBD>> needle<<NN>>
"""He will need all his heart can do,"" he said to me.",will<<MD>> need<<VB>> heart<<NN>> can<<MD>> do<<VB>> said<<VBD>>
"Then he reached down into a belt about his waist and drew from it a small, flat flask of what seemed to be lead.",Then<<RB>> reached<<VBD>> down<<RB>> belt<<NN>> waist<<NN>> drew<<NN>> small<<JJ>> flat<<JJ>> flask<<NN>> seemed<<VBD>> be<<VB>> lead<<JJ>>
He opened it and let a few drops of its contents fall on each arm of the Norwegian.,opened<<VBD>> let<<VB>> few<<JJ>> drops<<NNS>> contents<<NNS>> fall<<VB>> arm<<NN>> Norwegian<<JJ>>
The liquid sparkled and instantly began to spread over the skin much as oil or gasoline dropped on water does--only far more rapidly.,liquid<<NN>> sparkled<<VBD>> instantly<<RB>> began<<VBD>> spread<<VB>> skin<<JJ>> much<<RB>> oil<<NN>> gasoline<<NN>> dropped<<VBD>> water<<NN>> does<<VBZ>> only<<RB>> far<<RB>> more<<RBR>> rapidly<<RB>>
And as it spread it drew a sparkling film over the marbled flesh and little wisps of vapour rose from it.,spread<<VBD>> drew<<VBD>> sparkling<<NN>> film<<NN>> marbled<<VBN>> flesh<<NN>> little<<JJ>> wisps<<NN>> vapour<<NN>> rose<<VBD>>
The Norseman's mighty chest heaved with agony.,Norseman<<NNP>> 's<<POS>> mighty<<NN>> chest<<NN>> heaved<<VBN>> agony<<NN>>
His hands clenched.,hands<<NNS>> clenched<<VBN>>
"The Russian gave a grunt of satisfaction at this, dropped a little more of the liquid, and then, watching closely, grunted again and leaned back.",Russian<<NNP>> gave<<VBD>> grunt<<NN>> satisfaction<<NN>> dropped<<VBD>> little<<JJ>> more<<JJR>> liquid<<NN>> then<<RB>> watching<<VBG>> closely<<RB>> grunted<<VBD>> again<<RB>> leaned<<VBD>> back<<RB>>
"Huldricksson's laboured breathing ceased, his head dropped upon Larry's knee, and from his arms and hands the whiteness swiftly withdrew.",Huldricksson<<NNP>> 's<<POS>> laboured<<JJ>> breathing<<NN>> ceased<<VBN>> head<<NN>> dropped<<VBD>> Larry<<NNP>> 's<<POS>> knee<<NN>> arms<<NNS>> hands<<VBZ>> whiteness<<NN>> swiftly<<RB>> withdrew<<VBD>>
Marakinoff arose and contemplated us--almost benevolently.,Marakinoff<<NNP>> arose<<NN>> contemplated<<VBD>> almost<<RB>> benevolently<<RB>>
"""He will all right be in five minutes,"" he said.",will<<MD>> all<<VB>> right<<RB>> be<<VB>> five<<CD>> minutes<<NNS>> said<<VBD>>
"""I know.",know<<VBP>>
"I do it to pay for that shot of mine, and also because we will need him.",do<<VBP>> pay<<VB>> shot<<NN>> mine<<NN>> also<<RB>> will<<MD>> need<<VB>>
"Yes.""",
He turned to Larry.,turned<<VBD>> Larry<<NNP>>
"""You have a poonch like a mule kick, my young friend,"" he said.",have<<VBP>> poonch<<NN>> mule<<NN>> kick<<NN>> young<<JJ>> friend<<NN>> said<<VBD>>
"""Some time you pay me for that, too, eh?""",time<<NN>> pay<<VBP>> too<<RB>> eh<<FW>>
He smiled; and the quality of the grimace was not exactly reassuring.,smiled<<VBD>> quality<<NN>> grimace<<NN>> was<<VBD>> not<<RB>> exactly<<RB>> reassuring<<VBG>>
Larry looked him over quizzically.,Larry<<NNP>> looked<<VBD>> quizzically<<RB>>
"""You're Marakinoff, of course,"" he said.",'re<<VBP>> Marakinoff<<NNP>> course<<NN>> said<<VBD>>
"The Russian nodded, betraying no surprise at the recognition.",Russian<<NNP>> nodded<<VBD>> betraying<<VBG>> surprise<<NN>> recognition<<NN>>
"""And you?""",
he asked.,asked<<VBD>>
"""Lieutenant O'Keefe of the Royal Flying Corps,"" replied Larry, saluting.",Lieutenant<<JJ>> O'Keefe<<NNP>> Royal<<NNP>> Flying<<NNP>> Corps<<NNP>> replied<<VBD>> Larry<<NNP>> saluting<<VBG>>
"""And this gentleman is Dr. Walter T.",gentleman<<NN>> is<<VBZ>> Dr.<<NNP>> Walter<<NNP>> T<<NNP>>
"Goodwin.""",Goodwin<<NNP>>
Marakinoff's face brightened.,Marakinoff<<NNP>> 's<<POS>> face<<NN>> brightened<<VBD>>
"""The American botanist?""",American<<JJ>> botanist<<NN>>
he queried.,queried<<VBD>>
I nodded.,nodded<<VBD>>
"""Ah,"" cried Marakinoff eagerly, ""but this is fortunate.",Ah<<NNP>> cried<<VBD>> Marakinoff<<NNP>> eagerly<<RB>> is<<VBZ>> fortunate<<JJ>>
Long I have desired to meet you.,Long<<RB>> have<<VBP>> desired<<VBN>> meet<<VB>>
"Your work, for an American, is most excellent; surprising.",work<<NN>> American<<JJ>> is<<VBZ>> most<<RBS>> excellent<<JJ>> surprising<<NN>>
But you are wrong in your theory of the development of the Angiospermae from Cycadeoidea dacotensis.,are<<VBP>> wrong<<JJ>> theory<<NN>> development<<NN>> Angiospermae<<NNP>> Cycadeoidea<<NNP>> dacotensis<<NN>>
"Da--all wrong--"" I was interrupting him with considerable heat, for my conclusions from the fossil Cycadeoidea I knew to be my greatest triumph, when Larry broke in upon me rudely.",Da<<NNP>> wrong<<JJ>> was<<VBD>> interrupting<<VBG>> considerable<<JJ>> heat<<NN>> conclusions<<NNS>> fossil<<NN>> Cycadeoidea<<NNP>> knew<<VBD>> be<<VB>> greatest<<JJS>> triumph<<NN>> when<<WRB>> Larry<<NNP>> broke<<VBD>> rudely<<RB>>
"""Say,"" he spluttered, ""am I crazy or are you?",Say<<NNP>> spluttered<<VBD>> am<<VBP>> crazy<<JJ>> are<<VBP>>
What in damnation kind of a place and time is this to start an argument like that?,damnation<<NN>> kind<<NN>> place<<NN>> time<<NN>> is<<VBZ>> start<<VB>> argument<<NN>>
"""Angiospermae, is it?""",Angiospermae<<NNP>> is<<VBZ>>
exclaimed Larry.,exclaimed<<VBN>> Larry<<NNP>>
"""HELL!""",HELL<<NN>>
Marakinoff again regarded him with that irritating air of benevolence.,Marakinoff<<NNP>> again<<RB>> regarded<<VBD>> irritating<<VBG>> air<<NN>> benevolence<<NN>>
"""You have not the scientific mind, young friend,"" he said.",have<<VBP>> not<<RB>> scientific<<JJ>> mind<<NN>> young<<JJ>> friend<<NN>> said<<VBD>>
"""The poonch, yes!",poonch<<NN>>
But so has the mule.,so<<RB>> has<<VBZ>> mule<<NN>>
"You must learn that only the fact is important--not you, not me, not this""--he pointed to Huldricksson--""or its sorrows.",must<<MD>> learn<<VB>> only<<RB>> fact<<NN>> is<<VBZ>> important<<JJ>> not<<RB>> not<<RB>> not<<RB>> pointed<<VBD>> Huldricksson<<NNP>> sorrows<<NNS>>
"Only the fact, whatever it is, is real, yes.",Only<<RB>> fact<<NN>> is<<VBZ>> is<<VBZ>> real<<JJ>>
"But""--he turned to me--""another time--"" Huldricksson interrupted him.",turned<<VBD>> time<<NN>> Huldricksson<<NNP>> interrupted<<VBD>>
The big seaman had risen stiffly to his feet and stood with Larry's arm supporting him.,big<<JJ>> seaman<<NN>> had<<VBD>> risen<<VBN>> stiffly<<NN>> feet<<NNS>> stood<<NN>> Larry<<NNP>> 's<<POS>> arm<<NN>> supporting<<NN>>
He stretched out his hands to me.,stretched<<VBD>> hands<<NNS>>
"""I saw her,"" he whispered.",saw<<VBD>> whispered<<VBD>>
"""I saw mine Freda when the stone swung.",saw<<VBD>> mine<<NN>> Freda<<NNP>> when<<WRB>> stone<<NN>> swung<<NN>>
She lay there--just at my feet.,lay<<VBD>> there<<RB>> just<<RB>> feet<<NNS>>
I picked her up and I saw that mine Freda was dead.,picked<<VBD>> saw<<VBD>> mine<<JJ>> Freda<<NNP>> was<<VBD>> dead<<JJ>>
"But I hoped--and I thought maybe mine Helma was somewhere here, too, So I ran with mine yndling--here--"" His voice broke.",hoped<<VBD>> thought<<VBD>> maybe<<RB>> mine<<JJ>> Helma<<NNP>> was<<VBD>> somewhere<<RB>> here<<RB>> too<<RB>> ran<<VBP>> mine<<JJ>> yndling<<NN>> here<<RB>> voice<<NN>> broke<<VBD>>
"""I thought maybe she was _not_ dead,"" he went on.",thought<<VBD>> maybe<<RB>> was<<VBD>> _not_<<JJ>> dead<<JJ>> went<<VBD>>
"""And I saw that""--he pointed to the Moon Pool--""and I thought I would bathe her face and she might live again.",saw<<VBD>> pointed<<VBD>> Moon<<NNP>> Pool<<NNP>> thought<<VBD>> would<<MD>> bathe<<VB>> face<<NN>> might<<MD>> live<<VB>> again<<RB>>
"And when I dipped my hands within--the life left them, and cold, deadly cold, ran up through them into my heart.",when<<WRB>> dipped<<VBD>> hands<<NNS>> life<<NN>> left<<VBD>> cold<<NN>> deadly<<RB>> cold<<JJ>> ran<<VBD>> heart<<NN>>
"And mine Freda--she fell--"" he covered his eyes, and dropping his head on O'Keefe's shoulder, stood, racked by sobs that seemed to tear at his very soul.",mine<<NN>> Freda<<NNP>> fell<<VBD>> covered<<VBD>> eyes<<NNS>> dropping<<VBG>> head<<NN>> O'Keefe<<NNP>> 's<<POS>> shoulder<<NN>> stood<<VBD>> racked<<VBN>> sobs<<NN>> seemed<<VBD>> tear<<VB>> very<<RB>> soul<<NN>>
CHAPTER XI The Flame-Tipped Shadows Marakinoff nodded his head solemnly as Olaf finished.,CHAPTER<<NN>> XI<<VBD>> Flame-Tipped<<NNP>> Shadows<<NNP>> Marakinoff<<NNP>> nodded<<VBD>> head<<NN>> solemnly<<RB>> Olaf<<NNP>> finished<<VBD>>
"""Da!""",Da<<NN>>
he said.,said<<VBD>>
"""That which comes from here took them both--the woman and the child.",comes<<VBZ>> here<<RB>> took<<VBD>> woman<<NN>> child<<NN>>
Da!,Da<<NN>>
They came clasped within it and the stone shut upon them.,came<<VBD>> clasped<<VBD>> stone<<NN>> shut<<NN>>
"But why it left the child behind I do not understand.""",why<<WRB>> left<<VBD>> child<<NN>> do<<VBP>> not<<RB>> understand<<VB>>
"""How do you know that?""",How<<WRB>> do<<VB>> know<<VB>>
I cried in amazement.,cried<<VBD>> amazement<<NN>>
